user_id,account_ref,timestamp,activity_type,asset_name,symbol,instrument_type,amount,price,value,currency,profit_loss_value,profit_loss_pct,holdings_after,asset_class,chain,address,tx_hash,block_number,log_index,external_id,venue,protocol,counterparty,fee_amount,fee_symbol,raw_json
prototype,hyperliquid:0xd6e56265890b76413d1d527eb9b75e334c0c5b42,2026-04-28T16:41:12Z,buy,HYPE,HYPE/USDC:USDC,perp,11.61,39.462,458.15382,USD,0.0,,137601.04,crypto,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x254d12feab1515bb26c6043a307a880109002ae44618348dc915be516a18efa5,,,556573117274184,hyperliquid,,,0.054978,USDC,"{""exchange_id"":""hyperliquid"",""trade"":{""amount"":11.61,""cost"":458.15382,""datetime"":""2026-04-28T16:41:12.383Z"",""fee"":{""cost"":0.054978,""currency"":""USDC""},""fees"":[{""cost"":0.054978,""currency"":""USDC""}],""id"":""556573117274184"",""info"":{""closedPnl"":""0.0"",""coin"":""HYPE"",""crossed"":false,""dir"":""Open Long"",""fee"":""0.054978"",""feeToken"":""USDC"",""hash"":""0x254d12feab1515bb26c6043a307a880109002ae44618348dc915be516a18efa5"",""oid"":""402234485135"",""px"":""39.462"",""side"":""B"",""startPosition"":""137601.04"",""sz"":""11.61"",""tid"":""556573117274184"",""time"":""1777394472383"",""twapId"":null},""order"":""402234485135"",""price"":39.462,""side"":""buy"",""symbol"":""HYPE/USDC:USDC"",""takerOrMaker"":""maker"",""timestamp"":1777394472383,""type"":null}}"
prototype,hyperliquid:0xd6e56265890b76413d1d527eb9b75e334c0c5b42,2026-04-28T16:41:12Z,fee,USDC,USDC,spot,0.054978,1,0.054978,USDC,,,,crypto,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x254d12feab1515bb26c6043a307a880109002ae44618348dc915be516a18efa5,,,fee:556573117274184,hyperliquid,,,0.054978,USDC,"{""exchange_id"":""hyperliquid"",""fee_for_trade"":""556573117274184""}"
prototype,hyperliquid:0xd6e56265890b76413d1d527eb9b75e334c0c5b42,2026-04-28T19:43:59Z,sell,HYPE,HYPE/USDC:USDC,perp,182.19,40.052,7297.07388,USD,-93.153747,,137803.74,crypto,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x6c6f3e595e68999a6de8043a32ece70205eb003ef96bb86c1037e9ac1d6c7385,,,973099487334659,hyperliquid,,,0.875648,USDC,"{""exchange_id"":""hyperliquid"",""trade"":{""amount"":182.19,""cost"":7297.07388,""datetime"":""2026-04-28T19:43:59.032Z"",""fee"":{""cost"":0.875648,""currency"":""USDC""},""fees"":[{""cost"":0.875648,""currency"":""USDC""}],""id"":""973099487334659"",""info"":{""closedPnl"":""-93.153747"",""coin"":""HYPE"",""crossed"":false,""dir"":""Close Long"",""fee"":""0.875648"",""feeToken"":""USDC"",""hash"":""0x6c6f3e595e68999a6de8043a32ece70205eb003ef96bb86c1037e9ac1d6c7385"",""oid"":""402415125867"",""px"":""40.052"",""side"":""A"",""startPosition"":""137803.74"",""sz"":""182.19"",""tid"":""973099487334659"",""time"":""1777405439032"",""twapId"":null},""order"":""402415125867"",""price"":40.052,""side"":""sell"",""symbol"":""HYPE/USDC:USDC"",""takerOrMaker"":""maker"",""timestamp"":1777405439032,""type"":null}}"
prototype,hyperliquid:0xd6e56265890b76413d1d527eb9b75e334c0c5b42,2026-04-28T19:43:59Z,fee,USDC,USDC,spot,0.875648,1,0.875648,USDC,,,,crypto,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x6c6f3e595e68999a6de8043a32ece70205eb003ef96bb86c1037e9ac1d6c7385,,,fee:973099487334659,hyperliquid,,,0.875648,USDC,"{""exchange_id"":""hyperliquid"",""fee_for_trade"":""973099487334659""}"
prototype,hyperliquid:0xd6e56265890b76413d1d527eb9b75e334c0c5b42,2026-04-28T19:43:59Z,sell,HYPE,HYPE/USDC:USDC,perp,17.56,40.052,703.31312,USD,-8.978428,,137621.55,crypto,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x29ed2723d95b464f2b66043a32eced020bd40009745e6521cdb5d276985f2039,,,246186451338173,hyperliquid,,,0.084397,USDC,"{""exchange_id"":""hyperliquid"",""trade"":{""amount"":17.56,""cost"":703.31312,""datetime"":""2026-04-28T19:43:59.451Z"",""fee"":{""cost"":0.084397,""currency"":""USDC""},""fees"":[{""cost"":0.084397,""currency"":""USDC""}],""id"":""246186451338173"",""info"":{""closedPnl"":""-8.978428"",""coin"":""HYPE"",""crossed"":false,""dir"":""Close Long"",""fee"":""0.084397"",""feeToken"":""USDC"",""hash"":""0x29ed2723d95b464f2b66043a32eced020bd40009745e6521cdb5d276985f2039"",""oid"":""402415125867"",""px"":""40.052"",""side"":""A"",""startPosition"":""137621.55"",""sz"":""17.56"",""tid"":""246186451338173"",""time"":""1777405439451"",""twapId"":null},""order"":""402415125867"",""price"":40.052,""side"":""sell"",""symbol"":""HYPE/USDC:USDC"",""takerOrMaker"":""maker"",""timestamp"":1777405439451,""type"":null}}"
prototype,hyperliquid:0xd6e56265890b76413d1d527eb9b75e334c0c5b42,2026-04-28T19:43:59Z,fee,USDC,USDC,spot,0.084397,1,0.084397,USDC,,,,crypto,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x29ed2723d95b464f2b66043a32eced020bd40009745e6521cdb5d276985f2039,,,fee:246186451338173,hyperliquid,,,0.084397,USDC,"{""exchange_id"":""hyperliquid"",""fee_for_trade"":""246186451338173""}"
prototype,hyperliquid:0xd6e56265890b76413d1d527eb9b75e334c0c5b42,2026-04-28T19:45:42Z,sell,HYPE,HYPE/USDC:USDC,perp,199.59,40.083,8000.16597,USD,-95.863077,,137603.99,crypto,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x8ddd7fa1e5831de78f57043a32f2c5020b57008780863cb931a62af4a486f7d2,,,802858729869546,hyperliquid,,,0.960019,USDC,"{""exchange_id"":""hyperliquid"",""trade"":{""amount"":199.59,""cost"":8000.16597,""datetime"":""2026-04-28T19:45:42.032Z"",""fee"":{""cost"":0.960019,""currency"":""USDC""},""fees"":[{""cost"":0.960019,""currency"":""USDC""}],""id"":""802858729869546"",""info"":{""closedPnl"":""-95.863077"",""coin"":""HYPE"",""crossed"":false,""dir"":""Close Long"",""fee"":""0.960019"",""feeToken"":""USDC"",""hash"":""0x8ddd7fa1e5831de78f57043a32f2c5020b57008780863cb931a62af4a486f7d2"",""oid"":""402416958291"",""px"":""40.083"",""side"":""A"",""startPosition"":""137603.99"",""sz"":""199.59"",""tid"":""802858729869546"",""time"":""1777405542032"",""twapId"":null},""order"":""402416958291"",""price"":40.083,""side"":""sell"",""symbol"":""HYPE/USDC:USDC"",""takerOrMaker"":""maker"",""timestamp"":1777405542032,""type"":null}}"
prototype,hyperliquid:0xd6e56265890b76413d1d527eb9b75e334c0c5b42,2026-04-28T19:45:42Z,fee,USDC,USDC,spot,0.960019,1,0.960019,USDC,,,,crypto,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x8ddd7fa1e5831de78f57043a32f2c5020b57008780863cb931a62af4a486f7d2,,,fee:802858729869546,hyperliquid,,,0.960019,USDC,"{""exchange_id"":""hyperliquid"",""fee_for_trade"":""802858729869546""}"
prototype,hyperliquid:0xd6e56265890b76413d1d527eb9b75e334c0c5b42,2026-04-28T19:45:43Z,sell,HYPE,HYPE/USDC:USDC,perp,199.59,40.084,8000.36556,USD,-95.663487,,137404.4,crypto,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0xd8bb456876556388da35043a32f2d3020626004e1158825a7c83f0bb35593d73,,,878061500976106,hyperliquid,,,0.960043,USDC,"{""exchange_id"":""hyperliquid"",""trade"":{""amount"":199.59,""cost"":8000.36556,""datetime"":""2026-04-28T19:45:43.147Z"",""fee"":{""cost"":0.960043,""currency"":""USDC""},""fees"":[{""cost"":0.960043,""currency"":""USDC""}],""id"":""878061500976106"",""info"":{""closedPnl"":""-95.663487"",""coin"":""HYPE"",""crossed"":false,""dir"":""Close Long"",""fee"":""0.960043"",""feeToken"":""USDC"",""hash"":""0xd8bb456876556388da35043a32f2d3020626004e1158825a7c83f0bb35593d73"",""oid"":""402416993459"",""px"":""40.084"",""side"":""A"",""startPosition"":""137404.4"",""sz"":""199.59"",""tid"":""878061500976106"",""time"":""1777405543147"",""twapId"":null},""order"":""402416993459"",""price"":40.084,""side"":""sell"",""symbol"":""HYPE/USDC:USDC"",""takerOrMaker"":""maker"",""timestamp"":1777405543147,""type"":null}}"
prototype,hyperliquid:0xd6e56265890b76413d1d527eb9b75e334c0c5b42,2026-04-28T19:45:43Z,fee,USDC,USDC,spot,0.960043,1,0.960043,USDC,,,,crypto,,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0xd8bb456876556388da35043a32f2d3020626004e1158825a7c83f0bb35593d73,,,fee:878061500976106,hyperliquid,,,0.960043,USDC,"{""exchange_id"":""hyperliquid"",""fee_for_trade"":""878061500976106""}"
